file,spectral_entropy_mean_bits_overall,spectral_entropy_h1_top,spectral_entropy_h2,spectral_entropy_h3,spectral_entropy_h4_bottom,spectral_entropy_v1_left,spectral_entropy_v2_right,height,width
./spectrograms/20_song\image50.png,6.940658250715775,4.959725127095208,4.982395582764102,4.9890695789099375,4.9035307995519855,6.936714308475067,6.9446021929564825,128,472
./spectrograms/20_song\image51.png,6.987566768514271,4.977805631594921,4.990121288967172,4.994956549142686,4.992713452170382,6.987438225825013,6.987695311203527,128,472
./spectrograms/20_song\image52.png,6.958719851344166,4.936810662483812,4.979708610600967,4.98401647022661,4.9796530038457005,6.95628780960706,6.961151893081272,128,472
./spectrograms/20_song\image53.png,6.977499417753915,4.976470762444457,4.984588504400035,4.990410563517808,4.992688204360271,6.978938467652404,6.976060367855426,128,472
./spectrograms/20_song\image54.png,6.98327909852995,4.984766188153962,4.991162712039533,4.994192415538651,4.982059892527439,6.980491398223149,6.98606679883675,128,472
./spectrograms/20_song\image55.png,6.9871529689792276,4.9858066526405,4.9927693846739905,4.995878935465302,4.993100962333896,6.986783429180532,6.987522508777922,128,472
./spectrograms/20_song\image56.png,6.990218704367622,4.989858641645662,4.996775337213976,4.997042194067578,4.9888608881493255,6.985756162714777,6.994681246020467,128,472
./spectrograms/20_song\image57.png,6.992696927506131,4.991899692988903,4.996086533242569,4.996111234565894,4.9945229090502465,6.99297675593638,6.992417099075883,128,472
./spectrograms/20_song\image58.png,6.989187906030113,4.984708322207025,4.994431935153487,4.996234802458687,4.991121391476922,6.988814789861785,6.989561022198441,128,472
./spectrograms/20_song\image59.png,6.947208099788764,4.956018193174814,4.977929004366162,4.988976283684846,4.929356485654379,6.938509865665977,6.955906333911553,128,472
./spectrograms/20_song\image6.png,6.996090919822901,4.9943938763870035,4.997174313703966,4.9989049417112925,4.997311151154107,6.996519517918126,6.995662321727673,128,472
./spectrograms/20_song\image60.png,6.976672743976678,4.9615966813632815,4.990427992106655,4.993409192645526,4.987448137544796,6.978507000328757,6.974838487624598,128,472
./spectrograms/20_song\image61.png,6.9855917548766095,4.979540258284484,4.995934316034675,4.9956192150492855,4.990752974438422,6.985005348585415,6.986178161167804,128,472
./spectrograms/20_song\image62.png,6.984096932423021,4.983627852819193,4.995798099519108,4.997977686809906,4.9794218738886995,6.988124642440552,6.980069222405489,128,472
./spectrograms/20_song\image63.png,6.94554335723355,4.95544976706745,4.991260234780279,4.993710944480894,4.930171725528377,6.941074762938512,6.950011951528589,128,472
./spectrograms/20_song\image64.png,6.981132301179,4.978524988418188,4.989788555628288,4.9840676424736685,4.9858342138837735,6.9779921679068355,6.984272434451165,128,472
./spectrograms/20_song\image65.png,6.839039172094668,4.838444034773413,4.9651455943553495,4.982753367252042,4.77165816990699,6.807262811498399,6.870815532690936,128,472
./spectrograms/20_song\image66.png,6.935171187282017,4.9632863771684,4.962316026557407,4.975740883388492,4.915182176348083,6.89963762296994,6.970704751594094,128,472
./spectrograms/20_song\image67.png,6.971434343679881,4.974709802710385,4.9752147917536576,4.985777539051016,4.981960079593056,6.973306897724321,6.969561789635441,128,472
./spectrograms/20_song\image68.png,6.8239466266166255,4.9496428667955605,4.931393529652053,4.951570423279849,4.69160578740087,6.813307764917592,6.83458548831566,128,472
./spectrograms/20_song\image69.png,6.965925363884071,4.969603855086294,4.964902151422563,4.980614628890641,4.9832755097686885,6.964999589403793,6.9668511383643486,128,472
./spectrograms/20_song\image7.png,6.984043262200255,4.977741457179218,4.990173616037511,4.993920493376012,4.9921041996289475,6.987691709905365,6.980394814495146,128,472
./spectrograms/20_song\image70.png,6.9689973535066,4.979318457096735,4.977694945003779,4.984886091679031,4.975834980170835,6.970569735252088,6.967424971761112,128,472
